nit,razon_social,desc_ciiu1,ciudad,email,telefono,source_datasets,join_method
900428468-6,ITALCOL ENERGIA S.A. E.S.P ITALENER S.A. E.S.P,Comercialización De Energía Eléctrica,Giron,jefecontabilidad@italener.com,3185172834,96mx-6n3n;bedu-5uzi,nit_base9_document
900483036-1,ENERGIA & AGUA S.A.S. E.S.P.,Comercialización De Energía Eléctrica,Floridablanca,ruitoque-energia@ruitoqueseps.com,3152863083,bedu-5uzi;jnzr-x9ww,nit_base9_document;nit_exact
900502897-9,INDUSTRIAS CTS S.A.S.,Fabricación De Aparatos De Distribución Y Control De La Energía Eléctrica,Bucaramanga,contabilidad@industriascts.com,3186233821,bedu-5uzi,nit_base9_document
900648934-0,EMPRESA DE SERVICIOS PUBLICOS DE SANTANDER S.A E.S.P,Comercialización De Energía Eléctrica,Bucaramanga,favio.garcia@esant.com.co,7000420,jnzr-x9ww,nit_exact
900662614-7,SERVICIO DE GAS AL CLIENTE GASERVIR S.A.S.,Producción De Gas  Distribución De Combustibles Gaseosos Por Tuberías,Giron,GASERVIR@GMAIL.COM,3012508443,bedu-5uzi,nit_base9_document
900682571-4,BIOCOMBUSTIBLES DE COLOMBIA Y SANTANDER S.A.S,Comercio Al Por Menor De Combustible Para Automotores,Bucaramanga,BIOCOLDER@HOTMAIL.COM,3187268363,bedu-5uzi,nit_base9_document
900747700-9,DISTRIFULL SERVICE SAS,Comercio Al Por Menor De Combustible Para Automotores,Giron,distrifullservice@gmail.com,3002182589,bedu-5uzi,nit_base9_document
900754520-9,DISTRIGAS ARIZA CRISTANCHO S.A.S.,"Comercio Al Por Mayor De Combustibles Sólidos, Líquidos, Gaseosos Y Productos Conexos",Giron,jgbcontador@hotmail.com,3153652104,bedu-5uzi,nit_base9_document
900829682-7,COMERCIALIZADORA INTERNACIONAL COVOLCO ENERGY SOCIEDAD POR ACCIONES SIMPLIFICADA,"Comercio Al Por Mayor De Combustibles Sólidos, Líquidos, Gaseosos Y Productos Conexos",Bucaramanga,contador@covolco.com,3118094501,bedu-5uzi,nit_base9_document
901080231-5,ESTACIÓN DE SERVICIO CARRIZAL DE GIRON S.A.S.,Comercio Al Por Menor De Combustible Para Automotores,Bucaramanga,gescontabilidad1@gmail.com,3192144110,bedu-5uzi,nit_base9_document
901080236-1,ESTACION DE SERVICIO CHIMITA S.A.S.,Comercio Al Por Menor De Combustible Para Automotores,Bucaramanga,gescontabilidad1@gmail.com,3192144110,bedu-5uzi,nit_base9_document
901185133-3,"COMBUSTIBLES, LUBRICANTES Y SERVICIOS- COLUBSERVICE S.A.S.",Comercio Al Por Menor De Combustible Para Automotores,Giron,colubservicesas@gmail.com,3158523402,bedu-5uzi,nit_base9_document
901379172-4,"""ALA GROUP S.A.S.""",Comercio Al Por Menor De Combustible Para Automotores,Giron,alagroupgiron@gmail.com,3165255990,bedu-5uzi,nit_base9_document
901452546-7,LUGRASCOL S.A.S,"Comercio Al Por Mayor De Combustibles Sólidos, Líquidos, Gaseosos Y Productos Conexos",Giron,lugrascolsas@gmail.com,3192404446,bedu-5uzi,nit_base9_document
901673785-9,AD INGENIERIA ELECTRICA S.A.S,Fabricación De Aparatos De Distribución Y Control De La Energía Eléctrica,Bucaramanga,ADMINISTRATIVA@ADINGENIERIAELECTRICA.COM,3156758699,bedu-5uzi,nit_base9_document
91012681-9,TAVERA RODRIGUEZ MARTIN ALONSO,Comercio Al Por Menor De Combustible Para Automotores,Floridablanca,edsruitoque@grupomat.com.co,3167129749,bedu-5uzi,nit_base9_document
