nit,legal_name,email,email_rep_legal,phone,website,address,city,dept,source_url,matched
1095806144-9,DUARTE SERRANO JHON HERIBERTO,,,,,,Floridablanca,SANTANDER,,false
1095807176-9,RODRIGUEZ HERNANDEZ EDWER FERLEY,,,,,,Floridablanca,SANTANDER,,false
1095811064-8,CORONEL GONZALEZ DIEGO FERNANDO,,,,,,Floridablanca,SANTANDER,,false
1095812342-5,LAGOS CUELLAR ANGIE YARELIN,,,,,,Bucaramanga,SANTANDER,,false
1095815376-9,TOPOGARFIA CAD & BIM,CBORRERO@OUTLOOK.ES,cborrero@outlook.es,3502208599,,CRA 28 193 28,FLORIDABLANCA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1095816490-5,DIEGO FERNANDO RUDA RODRIGUEZ,SOLUCIONESINNOVADORASORIENTE@GMAIL.COM,solucionesinnovadorasoriente@gmail.com,3214298210,,CALLE 4 # 2 - 67,SAN MIGUEL,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1095823405-8,DAYANA ESLENDY JAIMES ACEVEDO,DAYANA.JAIMES23@HOTMAIL.COM,dayana.jaimes23@hotmail.com,3202666468,,CARRERA 18A #200A-09 LA PAZ,FLORIDABLANCA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1095826275-0,RODRIGUEZ ESPARZA JUAN DAVID,,,,,,Floridablanca,SANTANDER,,false
1095828545-3,VASQUEZ RODRIGUEZ CAMILO ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1095837376-3,CORDERO ESTUPIÑAN MIGUEL DAVID,,,,,,Malaga,SANTANDER,,false
1095908666-1,FERNANDEZ JIMENEZ JORGE ARMANDO,,,,,,Giron,SANTANDER,,false
1095909703-9,ANAYA DELGADO MANUEL ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1095924384-5,MURILLO CAMARGO LAURA NATHALI,,,,,,Bucaramanga,SANTANDER,,false
1095926422-6,FONSECA GONZALEZ JAIME ANDRES,,,,,,Floridablanca,SANTANDER,,false
1095927470-4,REY POVEDA LUSWING MAURICIO,,,,,,Bucaramanga,SANTANDER,,false
1095947074-6,MANTILLA PEÑA LISANDRO ENRIQUE,,,,,,Giron,SANTANDER,,false
1095949382-9,CARMEN JOHLYETH CACERES GOMEZ,MARS.CONTRATACION@GMAIL.COM,johlyeth@gmail.com,3163192191,,TVSAL 23A 52A 26,GIRoN,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1096220946-6,JEFFERSON  SNEIDER ARIAS HERNANDEZ,,jeffersonarias15@hotmail.com,,,,Bucaramanga,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1097890498-5,SOSA CONTRERAS JIME LEANDRO,,,,,,El Guacamayo,SANTANDER,,false
1097970403-1,CASTILLO SANCHEZ GILBERTO,,,,,,San Gil,SANTANDER,,false
1097990059-4,RUGELES AGUDELO MARIBEL,,,,,,Barbosa,SANTANDER,,false
1098131713-2,RUBIANO MURILLO JOLMAN JAIR,,,,,,San Jose De Miranda,SANTANDER,,false
1098286515-6,DIAZ ALVAREZ BALMER JHOAN,,,,,,Bucaramanga,SANTANDER,,false
1098602764-1,DOMINGUEZ ACERO JHON EDINSON,,,,,,Giron,SANTANDER,,false
1098603021-0,BAEZ BAREÑO DIEGO ARMANDO,,,,,,Giron,SANTANDER,,false
1098614066-9,GARCES GONZALEZ JOSE MIGUEL,,,,,,Bucaramanga,SANTANDER,,false
1098614322-1,CATALINA MEDRANO,,catameba@hotmail.com,,,,Bucaramanga,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098621248-1,ROMAN JAIMES SERGIO ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098627188-5,RAMIREZ FLOREZ ADRIAN CAMILO,,,,,,Bucaramanga,SANTANDER,,false
1098628177-9,VELEZ SANCHEZ JEISSON EMILIO,,,,,,Floridablanca,SANTANDER,,false
1098628319-8,GOMEZ MANCILLA DIEGO ARMANDO,,,,,,Floridablanca,SANTANDER,,false
1098629693-2,ENRIQUE GARAY,ENGAVE11@HOTMAIL.COM,engave11@hotmail.com,3208601226,,CALLE 7 NO. 3-39,MATANZA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098630675-1,G2 INGENIERIA SOLUCIONES AMBIENTALES,G2INGENIERIASA@GMAIL.COM,g2ingenieriasa@gmail.com,3178735843,,CALLE 67#17-14 OFICINA 501,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098635694-4,NAVARRO CASTELLANOS DENYS MARCELA,,,,,,Bucaramanga,SANTANDER,,false
1098635740-5,ACOSTA CORREA CARLOS ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098636894-5,MILLAN BERNAL DIEGO ARMANDO,,,,,,Bucaramanga,SANTANDER,,false
1098637618-3,ARIAS GRANADOS RENZO MAURICIO,,,,,,Floridablanca,SANTANDER,,false
1098638082-0,CASTELLANOS TORRES ANDERSON,,,,,,Bucaramanga,SANTANDER,,false
1098640799-9,ANDERSON ADRIAN AYALA,ANDER-AYALA@HOTMAIL.COM,ANDER-AYALA@HOTMAIL.COM,3183908152,,CLL 17 #1W-50 APTO 1207 TORRE 2 PRADOS DE MIRAFLORES,PIEDECUESTA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098645460-0,TOCUA SAAVEDRA CARLOS JAIR,,,,,,Bucaramanga,SANTANDER,,false
1098649809-5,JORGE ISMAEL REDONDO SARMIENTO,ACERCOINGENIERIA@GMAIL.COM,acercoingenieria@gmail.com,3005730152,,CALLE 17N28 06,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098649822-1,FELIPE VALBUENA GOMEZ,,magosfx@hotmail.com,,,,Bucaramanga,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098651151-4,BLANCO GAMBOA OSCAR ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098654222-2,DIEGO ARMANDO CARVAJAL RUEDA,DKSOLUCIONES1@GMAIL.COM,dksoluciones1@gmail.com,3158373570,,"CALLE 18 # 31-76, SAN ALONSO, BUCARAMANGA",BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098657739-1,HERRERA CASTAÑEDA GUSTAVO ADOLFO,,,,,,Floridablanca,SANTANDER,,false
1098660252-8,RUEDA LOZANO LUIS ALFREDO,,,,,,Bucaramanga,SANTANDER,,false
1098660850-2,ALBA  DURAN CARLOS ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098672747-3,KARIN RUIZ NUÑEZ,,ingkrn@hotmail.com,,,,Bucaramanga,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098673857-1,CARRILLO CANO MARCO ANDERSSON,,,,,,Bucaramanga,SANTANDER,,false
1098676799-4,SILVIA PATRICIA CACERES RONDON,EDSPALMASDELRIO@GMAIL.COM,edspalmasdelrio@gmail.com,3173829469,,KM 47 VIA AL MAR,EL PLAYoN,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098676922-4,CABRERA DELGADO JHON ALEXANDER,,,,,,Floridablanca,SANTANDER,,false
1098677644-6,LEYNER YESID PRADA MENDEZ,LEYNERPRADA@GMAIL.COM,leynerprada@gmail.com,3183919386,,CARRERA 16 # 1 N - 15 BARRIO SAN CARLOS,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098677810-2,KATHERINE HERNaNDEZ,KATHERINEHDEZARIZA@GMAIL.COM,katherinehdezariza@gmail.com,3212535495,,CRA 22 A NO. 110-16,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098679326-8,FERNANDEZ MUÑOZ JUAN DAVID,,,,,,Floridablanca,SANTANDER,,false
1098680616-0,MORALES VARGAS SERGIO ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098682511-5,JOSE FABIAN VALBUENA MACHUCA,FABIAN_AMB28@HOTMAIL.COM,g2v.ecoingenieria@gmail.com,6878741,,CR 37 # 100 - 23,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098685704-3,IVAN FERNEY GARCIA APARICIO,IVANFER_25@HOTMAIL.COM,ivanfer_25@hotmail.com,3045967571,,CARRERA 27 63 18,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098687506-0,VEGA ARENAS SERGIO DANIEL,,,,,,Bucaramanga,SANTANDER,,false
1098689741-4,LANDAZURI BASTO JOHAN ALEXANDER,,,,,,Bucaramanga,SANTANDER,,false
1098697046-7,MUÑOZ GUALDRON LIZETH VANESSA,,,,,,Bucaramanga,SANTANDER,,false
1098702683-0,DELGADO BOHORQUEZ JOHAN SEBASTIAN,,,,,,Giron,SANTANDER,,false
1098703500-6,PINILLA ACERO HEBERTH ALEXIS,,,,,,Bucaramanga,SANTANDER,,false
1098704910-7,JOSE RICARDO BUENO HERNANDEZ,ING.JRBUENO@GMAIL.COM,ing.jrbueno@gmail.com,3054714506,,CIUDALELA VILLAMIL,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098706360-5,RIVERA SANGUINO JHON JAIRO,,,,,,San Gil,SANTANDER,,false
1098709204-8,SANABRIA ROMERO ERWIN JAIR,,,,,,Floridablanca,SANTANDER,,false
1098710787-1,GAMBOA SANCHEZ EVERTH ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098711070-4,CERON CHAPARRO MAURICIO,,,,,,San Gil,SANTANDER,,false
1098712968-7,FONNEGRA ROA YON HOLMAN,,,,,,Bucaramanga,SANTANDER,,false
1098713338-1,ALBARRACIN RODRIGUEZ RODRIGO,,,,,,Piedecuesta,SANTANDER,,false
1098714182-4,CARLOS MARIO DIAZ PRADA,CMDIAZ27@GMAIL.COM,cmdiaz27@gmail.com,3124600867,,CARRERA 27 NO. 31-81 GIRoN,GIRoN,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098715541-1,ANDRES FELIPE ARISTIZABAL MARTINEZ,,proyectosyservicioses@gmail.com,,,,Bucaramanga,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098716777-5,BERNAL OLARTE JAIME JEANPIERRE,,,,,,Giron,SANTANDER,,false
1098723246-5,DIEGO VILLARREAL,DIEGOVILLARREAL0717@GMAIL.COM,diegovillarreal0717@gmail.com,3134070820,,CALLE 34A #44-11,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098725244-1,DANIEL ALEJANDRO SaNCHEZ BOTIA,DA44@MISENA.EDU.CO,DA44@MISENA.EDU.CO,6468036,,CALLE 32 N° 38 - 33,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098725711-8,MORALES GOMEZ DAYRON FABIAN,,,,,,Charta,SANTANDER,,false
1098729262-0,DIAZ HERNANDEZ FRANK ERIC,,,,,,Bucaramanga,SANTANDER,,false
1098735482-9,RUIZ PARDO CINDY KATERINE,,,,,,Bucaramanga,SANTANDER,,false
1098737201-5,RODRIGUEZ VASQUEZ JESSICA,,,,,,Bucaramanga,SANTANDER,,false
1098737868-7,NAJM GARZON JOUSSEF CHARLIE,,,,,,Bucaramanga,SANTANDER,,false
1098745469-5,SERGIO ANDReS ORTIZ BRAVO,DRONEINGENARQ@GMAIL.COM,Droneingenarq@gmail.com,3203984632,,CRA 17A #64-08,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098746690-1,JORGEN CHRISTIAN CLAUSEN MARTINEZ-VILLALBA,JORGENCCM@HOTMAIL.COM,jorgenccm@hotmail.com,6397842,,VIA RUITOQUE BAJO PORTAL DE TRINITARIOS CASA 3,FLORIDABLANCA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098748233-8,PAOLA ANDREA MOJICA RODRIGUEZ,,paolamojica.arq@gmail.com,,,,Bucaramanga,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098749933-1,HERRERA DIAZ ANGIE NOHEMY,,,,,,Bucaramanga,SANTANDER,,false
1098752601-0,CARTAGENA HERNANDEZ JUAN SEBASTIAN,,,,,,Bucaramanga,SANTANDER,,false
1098752603-5,MIGUELOSORIOGOMEZ,MIGUELANGELOSORIOGOMEZ@HOTMAIL.COM,miguelangelosoriogomez@hotmail.com,3188087109,,"CARRERA 49 # 73 - 04 CASA D-17 TESORO DEL CACIQUE, LAGOS DEL CACIQUE, BUCARAMANGA",BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098753391-3,GINNA VANESSA MEDRANO FORERO,GINNAMEDRANO@GMAIL.COM,ginnamedrano@gmail.com,3152692003,,CALLE 60 N 9 - 143,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098759564-8,BAYRON YITZHAK LOPEZ PARRA,ING.BAYRONLOPEZ@HOTMAIL.COM,ing.bayronlopez@hotmail.com,3172211783,,CARRERA 8W # 62-48,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098759944-3,HERRERA RODRIGUEZ SERGIO ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098760695-6,OVALLE GEREDA MARIA FERNANDA,,,,,,Bucaramanga,SANTANDER,,false
1098761611-2,BAYONA VELANDIA OLINDA FERNANDA,,,,,,Bucaramanga,SANTANDER,,false
1098768065-2,VERA  DIAZ LAURA ALEJANDRA,,,,,,Bucaramanga,SANTANDER,,false
1098773814-2,ROPERO ARENAS YUDI STEFFANY,,,,,,Bucaramanga,SANTANDER,,false
1098773826-0,ORTIZ PEÑA SIK LAD,,,,,,Los Santos,SANTANDER,,false
1098774634-8,GOMEZ SOLANO CARLOS ANDREY,,,,,,Floridablanca,SANTANDER,,false
1098779855-1,SOMMERS CAMPOS,ING.SOMMERSBCAMPOS@GMAIL.COM,ing.sommersbcampos@gmail.com,6076301883,,CALLE 15 # 21-28 APTO 1602,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098780241-1,PLATA ROSAS IVAN ANDRES,,,,,,Bucaramanga,SANTANDER,,false
1098788060-1,TAFUR ACUÑA LUIS FERNANDO,,,,,,Bucaramanga,SANTANDER,,false
1098788183-9,GAMBOA JIMENEZ EMERSON JULIAN,,,,,,Bucaramanga,SANTANDER,,false
1098789891-1,SIERRA MARTINEZ PRISCILA ANDREA,,,,,,Bucaramanga,SANTANDER,,false
1098790834-1,ESLAVA LOZANO DIEGO FERNANDO,,,,,,Floridablanca,SANTANDER,,false
1098798697-5,LAURA JULIANA VALENCIA CABALLERO,LAURAJCABALLERO@GMAIL.COM,laurajcaballero@gmail.com,3127985252,,CLL 104 #31-48,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098806278-8,GONZALEZ HERRERA JUAN CARLOS,,,,,,Bucaramanga,SANTANDER,,false
1098816059-4,ALVARADO RUIZ GILBERT JOSE,,,,,,Floridablanca,SANTANDER,,false
1098820652-8,RAMIREZ NARANJO ANA MARIA,,,,,,Floridablanca,SANTANDER,,false
1098821686-2,DIEGO AMAURY DAZA BAEZ,DIAMDABA99@GMAIL.COM,diamdaba99@gmail.com,3116659785,,CARRERA 24 #9A-30 APTO 401 BARRIO MUTUALIDAD,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1098822298-2,MIRANDA BELTRAN IVAN ALEXANDER,,,,,,Bucaramanga,SANTANDER,,false
1099205923-5,JULIAN ANDRES GONZALEZ CEPEDA,,julian.gonzalez.cep@gmail.com,,,,Barbosa,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1099208759-7,TATIANA ROJAS ALZA,TATIANAROJASALZA@GMAIL.COM,tatianarojasalza@gmail.com,7483232,,CALLE 1,POPAYaN,CAUCA,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1099210334-7,QUIROGA BECERRA OMAR ANDRES,,,,,,Barbosa,SANTANDER,,false
1099322777-7,SILVIA ANDREA GARZoN FIGUEREDO,,silviaandreagarzon@gmail.com,,,,Gambita,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1100890814-1,HERNANDEZ DIAZ SERGIO JOHAN,,,,,,Bucaramanga,SANTANDER,,false
1100954222-6,TAPIAS ALFONSO JHON JAIRO,,,,,,San Gil,SANTANDER,,false
1100954956-3,MARIO ANDRES BARRERA VASQUEZ,MARIOANDRESBARRERAV@GMAIL.COM,marioandresbarrerav@gmail.com,3017843179,,CARRERA 7 14-69,SAN GIL,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1100955866-3,JEAN PIERRE POINTUD PEDRAZA,JEANPIERRE555@GMAIL.COM,jean_pointud@solucioneselectricas.co,3153464160,,CARRERA 7A #3 B - 26,SAN GIL,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1100958921-4,PINZÓN PORRAS JULIO ANDRÉS,,,,,,Bucaramanga,SANTANDER,,false
1100963788-0,VELASQUEZ MANTILLA JHON FREDY,,,,,,San Gil,SANTANDER,,false
1100963852-4,YEISON FABIaN SaNCHEZ ACEVEDO,YEISONFSA@HOTMAIL.COM,yeisonfsa@hotmail.com,3212565367,,CALLE 17 A #4-04,SAN GIL,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1100965459-1,GUALDRON ARENAS FERNEY GIOVANY,,,,,,San Gil,SANTANDER,,false
1101546582-6,VILLAMIL PINZON WILLINGTON,,,,,,Oiba,SANTANDER,,false
1101685494-1,RIOS YEPES JORGE CIRO,,,,,,Socorro,SANTANDER,,false
1101690091-7,FORERO MANTILLA ANDREY RAUL,,,,,,Socorro,SANTANDER,,false
1101690596-4,JESUS ALFONSO SANCHEZ SOLANO,JESUSSANSOL92@GMAIL.COM,jesussansol92@gmail.com,3154192126,,CARRERA 30  33-53,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1101695063-3,FORERO MANTILLA LAINY JULIETH,,,,,,Socorro,SANTANDER,,false
1101760353-2,NICOLAS SANTIAGO VANEGAS LEON,SANTIAGO_LEON24@HOTMAIL.COM,Santiago_Leon24@hotmail.com,3219517579,,CRA2 #4-37,VeLEZ,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1102042720-6,TANIA JIMENA BARCENAS LIZARAZO,TANIA.BARCENAS18@GMAIL.COM,tania.barcenas18@gmail.com,3142979874,,CRA 13 N 13A - 20 EDIFICIO BELOHORIZONTE TORRE A APTO 301,MaLAGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1102349678-3,VASQUEZ SANCHEZ ANGIE TATIANA,,,,,,Bucaramanga,SANTANDER,,false
1102356202-0,EDISSON FERNEY PEÑA VALENCIA,,INGEDISSONPEVA@GMAIL.COM,,,,Piedecuesta,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1102366678-5,VALDES SILVA ADOVAN,,,,,,Piedecuesta,SANTANDER,,false
1102366902-0,JAHIR JOSE GARCIA PONTON,JHA91GA@HOTMAIL.COM,jha91ga@hotmail.com,3225881259,,AVENIDA 17 # 7W-51,PIEDECUESTA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1102371386-1,ADRIANA VICTORIA CORREA DAZA,ADRIANAVCORREADAZA@GMAIL.COM,adrianavcorreadaza@gmail.com,3017792851,,CARRERA 4W #17-56 TORRE 2 APT 712 MIRAFLORES DEL VALLE,PIEDECUESTA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1102372299-1,JHON FREDY ROJAS VARGAS,,jhonfrerojas@hotmail.com,,,,Piedecuesta,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1102373858-3,ANDREA KATHERINE ACEVEDO VELASCO,AKACEVEDO2194@GMAIL.COM,akacevedo2194@gmail.com,3187737510,,CARRERA 16 1F 16 SAN FRANCISCO DE LA CUESTA,BUCARAMANGA,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1102376319-9,ROJAS SILVA LUIS ALEXANDER,,,,,,Piedecuesta,SANTANDER,,false
1102376824-7,VEGA DIAZ JONATHAN ENRIQUE,,,,,,Bucaramanga,SANTANDER,,false
1102377261-5,RODRIGUEZ BLANCO JOSE ANTONIO,,,,,,Piedecuesta,SANTANDER,,false
1102385185-7,ARIAS AMAYA NICOLAS,,,,,,Piedecuesta,SANTANDER,,false
1102548868-1,VILLARREAL USECHE ANIBAL ANDRES,,,,,,Zapatoca,SANTANDER,,false
1102721571-9,SANABRIA NEIRA ELKIN SAMUEL,,,,,,Bucaramanga,SANTANDER,,false
1103712953-4,ZAMIR GAMEZ APONTE,,zamirgameza@gmail.com,,,,Suaita,SANTANDER,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Proveedores-Registrados/qmzu-gj57,true
1104070721-1,CARREÑO GOMEZ MAYRA LIZETH,,,,,,Piedecuesta,SANTANDER,,false
